mode,policy,seed,shortfall_bps,completion_rate,filled_qty,avg_slippage_bps,fees_paid_x,gas_paid_x,route_concentration,mean_post_trade_gap_bps,arb_trade_count,arb_profit_x,n_steps,total_reward
ConstantDuopoly,immediate,0,240.8100,1.0000,50.0000,221.0820,153.3422,90.0000,0.6611,62.6016,9,570.6183,50,-0.024081
ConstantDuopoly,twap,0,120.7186,0.9997,49.9852,99.3859,151.4655,100.0000,0.5684,58.5827,14,80.7883,50,-0.012072
ConstantDuopoly,myopic_router,0,155.7320,1.0000,50.0000,136.0062,152.0359,100.0000,0.5224,51.9477,13,179.3118,50,-0.015573
ConstantDuopoly,random,0,210.6032,1.0000,50.0000,188.3192,152.8410,106.0000,0.6633,59.3505,13,401.9911,50,-0.021060
ConstantDuopoly,immediate,1,243.0019,1.0000,50.0000,218.3495,153.3750,90.0000,0.5280,69.8766,6,545.0929,50,-0.024300
ConstantDuopoly,twap,1,134.1319,0.9997,49.9852,104.3952,151.6667,100.0000,0.5078,72.5168,14,83.0689,50,-0.013413
ConstantDuopoly,myopic_router,1,163.5441,1.0000,50.0000,133.2545,152.1531,100.0000,0.5006,68.8859,11,160.2805,50,-0.016354
ConstantDuopoly,random,1,164.6570,1.0000,50.0000,137.1062,152.1519,106.0000,0.5008,53.8310,10,248.3648,50,-0.016466
ConstantDuopoly,immediate,2,237.0701,1.0000,50.0000,226.1142,153.2861,90.0000,0.9297,79.5497,6,589.2954,50,-0.023707
ConstantDuopoly,twap,2,100.3620,0.9997,49.9852,101.2998,151.1601,100.0000,0.5262,70.9089,15,54.0437,50,-0.010036
ConstantDuopoly,myopic_router,2,143.5238,1.0000,50.0000,138.0281,151.8528,100.0000,0.7880,53.9374,12,184.4536,50,-0.014352
ConstantDuopoly,random,2,222.9067,1.0000,50.0000,215.1396,153.0256,106.0000,0.7224,68.0786,7,567.9582,50,-0.022291
ConstantDuopoly,immediate,3,237.9192,1.0000,50.0000,223.7100,153.2988,90.0000,0.9013,64.7814,10,563.1190,50,-0.023792
ConstantDuopoly,twap,3,114.5886,0.9997,49.9852,98.2534,151.3735,100.0000,0.6157,49.1436,12,35.2114,50,-0.011459
ConstantDuopoly,myopic_router,3,146.2710,1.0000,50.0000,134.3379,151.8940,100.0000,0.5435,57.3980,12,167.2691,50,-0.014627
ConstantDuopoly,random,3,248.5508,1.0000,50.0000,238.7373,153.4642,88.0000,0.5690,71.1529,9,621.5455,50,-0.024855
ConstantDuopoly,immediate,4,239.4367,1.0000,50.0000,220.3302,153.3216,90.0000,0.5011,73.0275,7,549.2860,50,-0.023944
ConstantDuopoly,twap,4,134.1713,0.9997,49.9852,100.8625,151.6673,100.0000,0.5022,73.4456,14,80.2433,50,-0.013417
ConstantDuopoly,myopic_router,4,158.4654,1.0000,50.0000,133.2329,152.0769,100.0000,0.5040,74.1729,11,174.4474,50,-0.015847
ConstantDuopoly,random,4,177.3384,1.0000,50.0000,153.6716,152.3361,108.0000,0.5427,68.8645,9,319.6579,50,-0.017734
ConstantDuopoly,immediate,5,239.9195,1.0000,50.0000,222.4097,153.3288,90.0000,0.9504,57.1686,9,591.6215,50,-0.023992
ConstantDuopoly,twap,5,126.2376,0.9997,49.9852,96.9980,151.5483,100.0000,0.5071,57.2065,16,59.5843,50,-0.012624
ConstantDuopoly,myopic_router,5,155.2978,1.0000,50.0000,133.8806,152.0294,100.0000,0.5938,49.1158,12,176.8330,50,-0.015530
ConstantDuopoly,random,5,178.7515,1.0000,50.0000,157.7958,152.3573,108.0000,0.5079,46.7155,9,374.6718,50,-0.017875
ConstantDuopoly,immediate,6,239.6010,1.0000,50.0000,221.0210,153.3240,90.0000,0.6889,64.6076,9,538.2542,50,-0.023960
ConstantDuopoly,twap,6,133.9152,0.9997,49.9852,94.1605,151.6634,100.0000,0.6251,47.3685,13,50.2032,50,-0.013392
ConstantDuopoly,myopic_router,6,160.2923,1.0000,50.0000,133.5276,152.1043,100.0000,0.5019,64.5723,11,147.3651,50,-0.016029
ConstantDuopoly,random,6,232.3295,1.0000,50.0000,209.0839,153.1969,96.0000,0.5594,58.3312,10,514.0000,50,-0.023233
ConstantDuopoly,immediate,7,233.5717,1.0000,50.0000,220.8265,153.2336,90.0000,0.5789,58.9026,6,556.9234,50,-0.023357
ConstantDuopoly,twap,7,99.2299,0.9997,49.9852,99.6627,151.1432,100.0000,0.5892,78.8338,14,44.3955,50,-0.009923
ConstantDuopoly,myopic_router,7,145.2991,1.0000,50.0000,136.5506,151.8794,100.0000,0.5000,50.8230,11,163.2255,50,-0.014530
ConstantDuopoly,random,7,213.6442,1.0000,50.0000,203.7500,152.9107,98.0000,0.5318,55.6075,8,497.2673,50,-0.021364
ConstantDuopoly,immediate,8,238.0965,1.0000,50.0000,219.5949,153.3014,90.0000,0.5054,57.3796,8,564.6874,50,-0.023810
ConstantDuopoly,twap,8,106.6868,0.9997,49.9852,97.5582,151.2550,100.0000,0.6208,61.5869,17,74.5994,50,-0.010669
ConstantDuopoly,myopic_router,8,152.8784,1.0000,50.0000,132.9585,151.9931,100.0000,0.5000,52.4462,14,166.8925,50,-0.015288
ConstantDuopoly,random,8,198.5239,1.0000,50.0000,179.8721,152.6898,96.0000,0.5094,58.6364,11,387.8076,50,-0.019852
ConstantDuopoly,immediate,9,240.5991,1.0000,50.0000,221.5822,153.3390,90.0000,0.9590,56.7933,7,550.1747,50,-0.024060
ConstantDuopoly,twap,9,139.4150,0.9997,49.9852,101.5132,151.7459,100.0000,0.5331,75.4859,15,44.0618,50,-0.013942
ConstantDuopoly,myopic_router,9,157.7889,1.0000,50.0000,133.0769,152.0667,100.0000,0.7782,51.2629,12,151.8749,50,-0.015779
ConstantDuopoly,random,9,211.7382,1.0000,50.0000,190.8623,152.9001,92.0000,0.6474,68.8456,7,400.3357,50,-0.021174
ConstantDuopoly,immediate,10,235.7076,1.0000,50.0000,222.3737,153.2656,90.0000,0.5287,63.0684,6,531.5667,50,-0.023571
ConstantDuopoly,twap,10,101.0782,0.9997,49.9852,102.1820,151.1709,100.0000,0.5089,63.5222,14,55.0586,50,-0.010108
ConstantDuopoly,myopic_router,10,144.0254,1.0000,50.0000,136.1735,151.8603,100.0000,0.5132,53.1643,11,158.3618,50,-0.014403
ConstantDuopoly,random,10,142.3409,1.0000,50.0000,137.0541,151.8651,90.0000,0.5499,60.9199,9,198.9597,50,-0.014234
ConstantDuopoly,immediate,11,240.0138,1.0000,50.0000,221.8801,153.3302,90.0000,0.8386,53.2288,7,559.4854,50,-0.024001
ConstantDuopoly,twap,11,144.6430,0.9997,49.9852,97.5059,151.8244,100.0000,0.5337,56.1246,14,66.8926,50,-0.014464
ConstantDuopoly,myopic_router,11,158.4759,1.0000,50.0000,132.5712,152.0771,100.0000,0.5792,54.3328,11,156.1146,50,-0.015848
ConstantDuopoly,random,11,171.1586,1.0000,50.0000,145.8935,152.2674,100.0000,0.6112,55.7566,9,227.2435,50,-0.017116
ConstantDuopoly,immediate,12,239.8884,1.0000,50.0000,219.0140,153.3283,90.0000,0.9737,40.5346,5,565.4494,50,-0.023989
ConstantDuopoly,twap,12,129.7080,0.9997,49.9852,98.0477,151.6003,100.0000,0.5059,70.4715,14,36.9393,50,-0.012971
ConstantDuopoly,myopic_router,12,161.9275,1.0000,50.0000,132.4157,152.1288,100.0000,0.5772,68.9762,8,158.9755,50,-0.016193
ConstantDuopoly,random,12,198.3634,1.0000,50.0000,170.2477,152.6575,106.0000,0.5051,60.0214,6,346.8257,50,-0.019836
ConstantDuopoly,immediate,13,239.9508,1.0000,50.0000,221.9127,153.3293,90.0000,0.9885,70.6411,11,616.7393,50,-0.023995
ConstantDuopoly,twap,13,119.4261,0.9997,49.9852,99.5039,151.4461,100.0000,0.5071,74.4489,22,63.5430,50,-0.011943
ConstantDuopoly,myopic_router,13,155.2751,1.0000,50.0000,134.0683,152.0290,100.0000,0.6326,78.6953,17,186.2287,50,-0.015528
ConstantDuopoly,random,13,187.4511,1.0000,50.0000,168.6139,152.5658,82.0000,0.5981,78.0008,12,360.0595,50,-0.018745
ConstantDuopoly,immediate,14,238.7371,1.0000,50.0000,218.5492,153.3111,90.0000,0.5200,65.3617,6,515.5561,50,-0.023874
ConstantDuopoly,twap,14,126.6751,0.9997,49.9852,98.5661,151.5548,100.0000,0.5149,67.0015,15,63.7982,50,-0.012668
ConstantDuopoly,myopic_router,14,153.9593,1.0000,50.0000,130.7813,152.0093,100.0000,0.5164,56.9723,11,142.2869,50,-0.015396
ConstantDuopoly,random,14,226.3245,1.0000,50.0000,202.7815,153.1009,98.0000,0.9164,66.6876,8,461.7765,50,-0.022632
ConstantDuopoly,immediate,15,239.5689,1.0000,50.0000,221.4923,153.3235,90.0000,0.6928,54.6467,10,575.1615,50,-0.023957
ConstantDuopoly,twap,15,133.2479,0.9997,49.9852,101.5725,151.6534,100.0000,0.6170,68.6451,19,68.4788,50,-0.013325
ConstantDuopoly,myopic_router,15,155.4158,1.0000,50.0000,133.9254,152.0312,100.0000,0.8346,60.1542,14,181.2983,50,-0.015542
ConstantDuopoly,random,15,156.6664,1.0000,50.0000,134.8533,152.0439,102.0000,0.5110,57.8380,13,266.7277,50,-0.015667
ConstantDuopoly,immediate,16,240.6687,1.0000,50.0000,221.0045,153.3400,90.0000,0.9094,82.2773,13,591.3444,50,-0.024067
ConstantDuopoly,twap,16,108.9502,0.9997,49.9852,99.6101,151.2890,100.0000,0.5086,75.4916,22,67.1542,50,-0.010895
ConstantDuopoly,myopic_router,16,153.9644,1.0000,50.0000,136.5816,152.0094,100.0000,0.8374,73.6483,17,183.4227,50,-0.015396
ConstantDuopoly,random,16,184.0414,1.0000,50.0000,162.6731,152.4726,96.0000,0.5033,73.3726,12,393.1494,50,-0.018404
ConstantDuopoly,immediate,17,239.1518,1.0000,50.0000,218.1566,153.3173,90.0000,0.5195,70.8206,6,599.9516,50,-0.023915
ConstantDuopoly,twap,17,121.1804,0.9997,49.9852,97.0273,151.4724,100.0000,0.5061,59.9497,16,50.2624,50,-0.012118
ConstantDuopoly,myopic_router,17,160.2598,1.0000,50.0000,135.1005,152.1038,100.0000,0.5000,59.1658,12,181.9833,50,-0.016026
ConstantDuopoly,random,17,180.0377,1.0000,50.0000,156.0551,152.4366,88.0000,0.6754,71.2565,10,265.0623,50,-0.018004
ConstantDuopoly,immediate,18,238.5470,1.0000,50.0000,216.4259,153.3082,90.0000,0.5101,71.3381,11,572.2615,50,-0.023855
ConstantDuopoly,twap,18,119.3813,0.9997,49.9852,96.3412,151.4454,100.0000,0.5157,72.9896,21,55.2680,50,-0.011938
ConstantDuopoly,myopic_router,18,154.7926,1.0000,50.0000,130.2005,152.0218,100.0000,0.5046,74.6900,16,164.6951,50,-0.015479
ConstantDuopoly,random,18,227.7989,1.0000,50.0000,204.7863,153.1290,96.0000,0.6397,82.5719,11,546.9789,50,-0.022780
ConstantDuopoly,immediate,19,238.2280,1.0000,50.0000,223.9429,153.3034,90.0000,0.6892,59.0228,7,547.6240,50,-0.023823
ConstantDuopoly,twap,19,118.4649,0.9997,49.9852,99.4497,151.4317,100.0000,0.5020,63.9123,13,58.6771,50,-0.011846
ConstantDuopoly,myopic_router,19,148.8112,1.0000,50.0000,134.9342,151.9321,100.0000,0.5642,53.1813,12,160.4028,50,-0.014881
ConstantDuopoly,random,19,158.2777,1.0000,50.0000,138.7236,152.0262,116.0000,0.5005,58.5440,9,310.5895,50,-0.015828
ConstantDuopoly,immediate,20,239.9013,1.0000,50.0000,222.9629,153.3285,90.0000,0.6288,74.2160,6,554.0905,50,-0.023990
ConstantDuopoly,twap,20,112.7096,0.9997,49.9852,98.4032,151.3454,100.0000,0.5657,69.4511,16,35.0746,50,-0.011271
ConstantDuopoly,myopic_router,20,155.1754,1.0000,50.0000,136.5813,152.0275,100.0000,0.6837,52.5079,12,163.7129,50,-0.015518
ConstantDuopoly,random,20,155.4198,1.0000,50.0000,140.4359,152.0553,92.0000,0.5810,59.6868,10,213.1689,50,-0.015542
ConstantDuopoly,immediate,21,233.0267,1.0000,50.0000,219.8620,153.2254,90.0000,0.5818,66.7346,12,613.8896,50,-0.023303
ConstantDuopoly,twap,21,117.7311,0.9997,49.9852,96.0935,151.4207,100.0000,0.5005,56.9473,11,34.3687,50,-0.011773
ConstantDuopoly,myopic_router,21,150.9681,1.0000,50.0000,135.1459,151.9644,100.0000,0.5100,65.2959,10,173.0824,50,-0.015097
ConstantDuopoly,random,21,220.6738,1.0000,50.0000,201.2399,152.9741,112.0000,0.6523,65.9996,10,527.4398,50,-0.022067
ConstantDuopoly,immediate,22,238.3327,1.0000,50.0000,223.4290,153.3050,90.0000,0.8259,64.3275,10,576.8619,50,-0.023833
ConstantDuopoly,twap,22,108.9365,0.9997,49.9852,99.4969,151.2888,100.0000,0.5041,70.5189,19,59.8056,50,-0.010894
ConstantDuopoly,myopic_router,22,148.3679,1.0000,50.0000,135.6586,151.9254,100.0000,0.7233,60.3026,16,154.4502,50,-0.014837
ConstantDuopoly,random,22,195.6879,1.0000,50.0000,181.2569,152.6233,104.0000,0.5087,62.0721,11,389.6259,50,-0.019569
ConstantDuopoly,immediate,23,235.3740,1.0000,50.0000,218.8503,153.2606,90.0000,0.5093,65.6180,8,523.8743,50,-0.023537
ConstantDuopoly,twap,23,102.7152,0.9997,49.9852,98.6651,151.1954,100.0000,0.5057,66.3777,15,48.9685,50,-0.010272
ConstantDuopoly,myopic_router,23,147.8474,1.0000,50.0000,131.5256,151.9176,100.0000,0.5056,54.2612,13,134.0969,50,-0.014785
ConstantDuopoly,random,23,158.7433,1.0000,50.0000,142.9521,152.0991,94.0000,0.5029,54.0971,10,279.7773,50,-0.015874
ConstantDuopoly,immediate,24,236.2328,1.0000,50.0000,221.4468,153.2735,90.0000,0.5038,62.7152,7,561.6784,50,-0.023623
ConstantDuopoly,twap,24,109.4226,0.9997,49.9852,102.9188,151.2961,100.0000,0.5051,70.0352,15,51.5020,50,-0.010942
ConstantDuopoly,myopic_router,24,147.4273,1.0000,50.0000,136.0153,151.9113,100.0000,0.5058,63.0066,12,172.0992,50,-0.014743
ConstantDuopoly,random,24,165.7791,1.0000,50.0000,157.4606,152.1747,104.0000,0.5105,62.7083,10,265.7726,50,-0.016578
ConstantDuopoly,immediate,25,239.5699,1.0000,50.0000,218.6185,153.3235,90.0000,0.5082,65.9660,9,522.7669,50,-0.023957
ConstantDuopoly,twap,25,132.0359,0.9997,49.9852,96.8523,151.6353,100.0000,0.5005,63.0179,17,52.2790,50,-0.013204
ConstantDuopoly,myopic_router,25,159.9155,1.0000,50.0000,133.3642,152.0986,100.0000,0.5024,61.5231,14,146.9956,50,-0.015992
ConstantDuopoly,random,25,204.0074,1.0000,50.0000,179.0751,152.7661,98.0000,0.5105,72.3661,10,370.8529,50,-0.020401
ConstantDuopoly,immediate,26,238.7040,1.0000,50.0000,222.7594,153.3106,90.0000,0.5804,67.2848,8,570.7917,50,-0.023870
ConstantDuopoly,twap,26,114.1840,0.9997,49.9852,99.4192,151.3675,100.0000,0.5000,74.3292,16,56.2443,50,-0.011418
ConstantDuopoly,myopic_router,26,152.2211,1.0000,50.0000,135.1694,151.9832,100.0000,0.5338,65.5021,13,157.0613,50,-0.015222
ConstantDuopoly,random,26,221.7397,1.0000,50.0000,202.0098,153.0081,106.0000,0.5069,71.1011,9,499.8199,50,-0.022174
ConstantDuopoly,immediate,27,236.6767,1.0000,50.0000,221.5081,153.2802,90.0000,0.5130,73.2612,11,588.2762,50,-0.023668
ConstantDuopoly,twap,27,113.6508,0.9997,49.9852,99.4429,151.3595,100.0000,0.5037,78.8479,18,68.6381,50,-0.011365
ConstantDuopoly,myopic_router,27,152.5040,1.0000,50.0000,134.4991,151.9875,100.0000,0.5157,72.1249,15,180.2770,50,-0.015250
ConstantDuopoly,random,27,217.5386,1.0000,50.0000,202.3328,152.9811,94.0000,0.5366,71.2489,10,559.9369,50,-0.021754
ConstantDuopoly,immediate,28,238.8531,1.0000,50.0000,221.8820,153.3128,90.0000,0.9059,58.1270,9,539.6922,50,-0.023885
ConstantDuopoly,twap,28,111.2462,0.9997,49.9852,99.4088,151.3234,100.0000,0.5764,66.8066,18,64.0847,50,-0.011125
ConstantDuopoly,myopic_router,28,150.6556,1.0000,50.0000,134.2760,151.9597,100.0000,0.8608,66.8041,15,147.2336,50,-0.015066
ConstantDuopoly,random,28,191.6374,1.0000,50.0000,174.2990,152.5866,96.0000,0.5045,75.9293,11,295.9218,50,-0.019164
ConstantDuopoly,immediate,29,238.8336,1.0000,50.0000,223.1288,153.3125,90.0000,0.6911,66.5438,7,598.9760,50,-0.023883
ConstantDuopoly,twap,29,116.4450,0.9997,49.9852,98.4174,151.4014,100.0000,0.5164,66.0850,16,55.3581,50,-0.011644
ConstantDuopoly,myopic_router,29,154.0174,1.0000,50.0000,135.1745,152.0102,100.0000,0.6846,55.6016,13,182.4126,50,-0.015402
ConstantDuopoly,random,29,218.5219,1.0000,50.0000,199.5238,153.0018,92.0000,0.6003,52.6525,11,498.2684,50,-0.021852
ConstantDuopoly,immediate,30,241.7300,1.0000,50.0000,221.0330,153.3559,90.0000,0.5139,82.7731,9,576.5724,50,-0.024173
ConstantDuopoly,twap,30,108.5687,0.9997,49.9852,100.0966,151.2833,100.0000,0.5021,70.6489,17,76.2111,50,-0.010857
ConstantDuopoly,myopic_router,30,153.1727,1.0000,50.0000,135.1924,151.9975,100.0000,0.5064,71.3409,12,172.7639,50,-0.015317
ConstantDuopoly,random,30,227.3845,1.0000,50.0000,210.5327,153.1168,98.0000,0.6644,74.5501,9,533.5077,50,-0.022738
ConstantDuopoly,immediate,31,234.0544,1.0000,50.0000,219.3898,153.2408,90.0000,0.5198,57.3965,8,566.1981,50,-0.023405
ConstantDuopoly,twap,31,104.7007,0.9997,49.9852,105.3700,151.2252,100.0000,0.5149,71.1959,13,86.9337,50,-0.010470
ConstantDuopoly,myopic_router,31,149.4732,1.0000,50.0000,138.7489,151.9420,100.0000,0.5047,62.6439,11,189.5455,50,-0.014947
ConstantDuopoly,random,31,200.2939,1.0000,50.0000,189.7988,152.7224,94.0000,0.5064,64.2038,9,414.6867,50,-0.020029
ConstantDuopoly,immediate,32,236.3738,1.0000,50.0000,221.6468,153.2756,90.0000,0.5071,67.0714,7,561.0345,50,-0.023637
ConstantDuopoly,twap,32,99.3550,0.9997,49.9852,100.3285,151.1450,100.0000,0.5029,79.0194,17,48.5170,50,-0.009935
ConstantDuopoly,myopic_router,32,145.7930,1.0000,50.0000,134.7793,151.8868,100.0000,0.5063,49.9381,13,157.3941,50,-0.014579
ConstantDuopoly,random,32,238.2982,1.0000,50.0000,222.0289,153.2805,98.0000,0.5250,69.7864,7,561.0369,50,-0.023830
ConstantDuopoly,immediate,33,238.5360,1.0000,50.0000,224.0631,153.3080,90.0000,0.9611,65.1001,9,615.3135,50,-0.023854
ConstantDuopoly,twap,33,104.8136,0.9997,49.9852,101.9116,151.2269,100.0000,0.5463,72.7091,19,58.1251,50,-0.010481
ConstantDuopoly,myopic_router,33,150.4885,1.0000,50.0000,136.7512,151.9572,100.0000,0.7389,63.2444,14,197.6469,50,-0.015049
ConstantDuopoly,random,33,159.1785,1.0000,50.0000,144.3251,152.0937,98.0000,0.5735,64.2883,12,315.6349,50,-0.015918
ConstantDuopoly,immediate,34,238.9701,1.0000,50.0000,222.5884,153.3146,90.0000,0.9071,62.7352,11,573.4614,50,-0.023897
ConstantDuopoly,twap,34,101.5900,0.9997,49.9852,105.4520,151.1786,100.0000,0.5124,74.7005,19,91.7329,50,-0.010159
ConstantDuopoly,myopic_router,34,149.2681,1.0000,50.0000,136.0981,151.9389,100.0000,0.5304,65.6889,16,183.2632,50,-0.014927
ConstantDuopoly,random,34,240.8776,1.0000,50.0000,222.6043,153.3012,104.0000,0.7020,77.4301,13,563.8813,50,-0.024088
ConstantDuopoly,immediate,35,242.6746,1.0000,50.0000,219.7247,153.3701,90.0000,0.9794,60.0122,7,606.7797,50,-0.024267
ConstantDuopoly,twap,35,139.7378,0.9997,49.9852,101.4897,151.7508,100.0000,0.5326,72.7326,17,59.4535,50,-0.013974
ConstantDuopoly,myopic_router,35,162.2371,1.0000,50.0000,131.3355,152.1335,100.0000,0.7806,67.7057,12,178.3877,50,-0.016224
ConstantDuopoly,random,35,179.4943,1.0000,50.0000,140.7881,152.3804,104.0000,0.5096,66.7571,10,214.0390,50,-0.017949
ConstantDuopoly,immediate,36,239.2564,1.0000,50.0000,217.5201,153.3188,90.0000,0.5010,65.6379,5,556.9331,50,-0.023926
ConstantDuopoly,twap,36,142.4929,0.9997,49.9852,104.2414,151.7921,100.0000,0.5565,78.9259,14,48.9005,50,-0.014249
ConstantDuopoly,myopic_router,36,161.5558,1.0000,50.0000,130.9213,152.1233,100.0000,0.5329,68.7879,10,144.2916,50,-0.016156
ConstantDuopoly,random,36,203.4302,1.0000,50.0000,177.8933,152.7635,96.0000,0.5002,74.8337,6,374.3778,50,-0.020343
