policy,seed,shortfall_bps,completion_rate
twap,30000,127.2777,0.9997
lookahead,30000,134.0396,0.9998
two_step,30000,138.8930,0.9997
three_step,30000,135.7585,0.9994
clairvoyant,30000,123.4306,0.9966
twap,30001,123.4718,0.9997
lookahead,30001,121.4719,0.9999
two_step,30001,126.3634,0.9996
three_step,30001,128.1241,0.9996
clairvoyant,30001,115.9303,0.9949
twap,30002,132.1532,0.9997
lookahead,30002,108.0029,0.9998
two_step,30002,127.2242,0.9995
three_step,30002,109.1845,0.9992
clairvoyant,30002,102.5261,0.9877
twap,30003,103.4066,0.9997
lookahead,30003,120.9858,0.9998
two_step,30003,111.3438,0.9996
three_step,30003,108.4083,0.9998
clairvoyant,30003,62.4886,0.9966
twap,30004,94.0551,0.9997
lookahead,30004,48.8558,0.9999
two_step,30004,64.5640,0.9997
three_step,30004,59.2223,0.9991
clairvoyant,30004,38.6957,0.9938
twap,30005,122.6919,0.9997
lookahead,30005,114.3277,0.9998
two_step,30005,132.4519,0.9997
three_step,30005,129.8275,0.9990
clairvoyant,30005,105.0591,0.9963
twap,30006,117.8570,0.9997
lookahead,30006,131.7431,0.9999
two_step,30006,157.1133,0.9996
three_step,30006,137.2237,0.9990
clairvoyant,30006,96.8151,0.9818
twap,30007,87.4975,0.9997
lookahead,30007,51.0753,0.9998
two_step,30007,73.1336,0.9996
three_step,30007,67.5255,0.9995
clairvoyant,30007,41.6773,0.9923
twap,30008,102.1139,0.9997
lookahead,30008,72.1249,0.9998
two_step,30008,73.3361,0.9996
three_step,30008,74.7076,0.9995
clairvoyant,30008,54.0891,0.9952
twap,30009,136.8426,0.9997
lookahead,30009,134.4513,0.9998
two_step,30009,136.0260,0.9995
three_step,30009,131.8407,0.9991
clairvoyant,30009,125.1733,0.9945
twap,30010,102.8054,0.9997
lookahead,30010,61.1277,0.9998
two_step,30010,71.3769,0.9996
three_step,30010,68.7367,0.9996
clairvoyant,30010,36.5526,0.9945
twap,30011,108.9492,0.9997
lookahead,30011,115.4154,0.9998
two_step,30011,144.5790,0.9995
three_step,30011,123.3071,0.9994
clairvoyant,30011,105.5634,0.9912
twap,30012,121.2666,0.9997
lookahead,30012,105.8145,0.9998
two_step,30012,106.7032,0.9996
three_step,30012,99.4037,0.9992
clairvoyant,30012,91.1101,0.9975
twap,30013,117.5874,0.9997
lookahead,30013,109.7397,0.9998
two_step,30013,142.2562,0.9996
three_step,30013,127.8286,0.9993
clairvoyant,30013,103.4501,0.9959
twap,30014,104.4261,0.9997
lookahead,30014,104.4277,0.9998
two_step,30014,130.5820,0.9997
three_step,30014,91.3943,0.9994
clairvoyant,30014,81.5519,0.9966
twap,30015,120.5051,0.9997
lookahead,30015,128.1553,0.9997
two_step,30015,141.6956,0.9995
three_step,30015,129.1564,0.9991
clairvoyant,30015,91.1954,0.9931
twap,30016,104.5785,0.9997
lookahead,30016,67.1436,0.9998
two_step,30016,94.2689,0.9996
three_step,30016,76.4342,0.9994
clairvoyant,30016,53.3725,0.9847
twap,30017,121.2350,0.9997
lookahead,30017,114.7698,0.9998
two_step,30017,130.6730,0.9997
three_step,30017,117.0661,0.9991
clairvoyant,30017,96.1987,0.9934
twap,30018,103.5732,0.9997
lookahead,30018,65.3076,0.9998
two_step,30018,75.7878,0.9996
three_step,30018,71.3568,0.9990
clairvoyant,30018,43.9856,0.9913
twap,30019,110.3959,0.9997
lookahead,30019,108.2169,0.9999
two_step,30019,134.8487,0.9997
three_step,30019,107.3891,0.9991
clairvoyant,30019,96.3285,0.9957
twap,30020,135.8512,0.9997
lookahead,30020,115.3880,0.9998
two_step,30020,107.1535,0.9995
three_step,30020,106.0179,0.9996
clairvoyant,30020,97.8215,0.9928
twap,30021,89.7901,0.9997
lookahead,30021,80.7360,0.9998
two_step,30021,97.2879,0.9997
three_step,30021,85.3574,0.9993
clairvoyant,30021,58.0844,0.9855
twap,30022,89.4780,0.9997
lookahead,30022,75.2095,0.9998
two_step,30022,89.2030,0.9997
three_step,30022,78.3239,0.9991
clairvoyant,30022,55.1850,0.9972
twap,30023,109.5078,0.9997
lookahead,30023,97.8165,0.9999
two_step,30023,108.7972,0.9996
three_step,30023,97.2672,0.9992
clairvoyant,30023,79.8468,0.9950
twap,30024,108.8232,0.9997
lookahead,30024,92.3764,0.9998
two_step,30024,101.4411,0.9998
three_step,30024,99.4463,0.9995
clairvoyant,30024,89.7542,0.9962
twap,30025,118.7513,0.9997
lookahead,30025,129.4866,0.9998
two_step,30025,164.3823,0.9997
three_step,30025,143.0780,0.9994
clairvoyant,30025,109.2525,0.9959
twap,30026,117.1724,0.9997
lookahead,30026,132.0914,0.9999
two_step,30026,143.6245,0.9998
three_step,30026,122.6817,0.9998
clairvoyant,30026,110.8925,0.9936
twap,30027,107.6289,0.9997
lookahead,30027,89.4236,0.9998
two_step,30027,84.3353,0.9996
three_step,30027,86.4619,0.9992
clairvoyant,30027,63.6353,0.9901
twap,30028,101.0889,0.9997
lookahead,30028,65.7025,0.9998
two_step,30028,74.4653,0.9995
three_step,30028,74.5730,0.9993
clairvoyant,30028,40.9090,0.9966
twap,30029,103.5246,0.9997
lookahead,30029,92.7147,0.9998
two_step,30029,104.7706,0.9997
three_step,30029,98.3561,0.9996
clairvoyant,30029,75.5096,0.9952
twap,30030,112.8481,0.9997
lookahead,30030,100.3617,0.9998
two_step,30030,136.6412,0.9997
three_step,30030,117.1068,0.9996
clairvoyant,30030,88.0565,0.9959
twap,30031,96.3307,0.9997
lookahead,30031,76.7843,0.9998
two_step,30031,79.2372,0.9995
three_step,30031,68.9147,0.9992
clairvoyant,30031,63.8620,0.9918
twap,30032,118.8951,0.9997
lookahead,30032,110.4022,0.9998
two_step,30032,117.7605,0.9995
three_step,30032,111.8596,0.9992
clairvoyant,30032,86.7012,0.9868
twap,30033,106.0731,0.9997
lookahead,30033,83.9522,0.9998
two_step,30033,83.2392,0.9996
three_step,30033,81.1567,0.9995
clairvoyant,30033,80.3287,0.9966
twap,30034,131.4823,0.9997
lookahead,30034,135.1657,0.9998
two_step,30034,148.5084,0.9997
three_step,30034,134.4817,0.9994
clairvoyant,30034,129.0854,0.9955
twap,30035,120.4751,0.9997
lookahead,30035,130.5969,0.9998
two_step,30035,137.5763,0.9996
three_step,30035,142.3878,0.9991
clairvoyant,30035,110.8274,0.9959
twap,30036,122.4680,0.9997
lookahead,30036,108.7360,0.9999
two_step,30036,101.6911,0.9996
three_step,30036,98.7300,0.9992
clairvoyant,30036,85.6107,0.9928
twap,30037,106.2958,0.9997
lookahead,30037,112.8423,0.9999
two_step,30037,123.2283,0.9995
three_step,30037,114.7283,0.9992
clairvoyant,30037,86.3091,0.9934
twap,30038,88.3441,0.9997
lookahead,30038,42.8383,0.9999
two_step,30038,50.6773,0.9995
three_step,30038,42.8094,0.9991
clairvoyant,30038,36.7869,0.9972
twap,30039,116.4084,0.9997
lookahead,30039,89.5295,0.9998
two_step,30039,102.8626,0.9997
three_step,30039,109.6347,0.9996
clairvoyant,30039,63.8597,0.9966
twap,30040,92.4001,0.9997
lookahead,30040,63.6612,0.9998
two_step,30040,77.5506,0.9997
three_step,30040,63.7721,0.9991
clairvoyant,30040,41.8243,0.9953
twap,30041,131.6708,0.9997
lookahead,30041,134.3328,0.9999
two_step,30041,157.4267,0.9996
three_step,30041,152.4996,0.9992
clairvoyant,30041,123.6790,0.9953
twap,30042,119.3290,0.9997
lookahead,30042,88.3710,0.9999
two_step,30042,110.3526,0.9998
three_step,30042,103.1446,0.9995
clairvoyant,30042,79.7645,0.9979
twap,30043,85.3612,0.9997
lookahead,30043,39.4156,0.9999
two_step,30043,53.7169,0.9997
three_step,30043,41.3062,0.9994
clairvoyant,30043,26.7894,0.9955
twap,30044,92.5431,0.9997
lookahead,30044,82.0325,0.9998
two_step,30044,110.9398,0.9996
three_step,30044,77.1174,0.9995
clairvoyant,30044,34.6062,0.9939
twap,30045,102.8080,0.9997
lookahead,30045,89.1103,0.9998
two_step,30045,100.9507,0.9997
three_step,30045,87.1646,0.9994
clairvoyant,30045,76.3369,0.9943
twap,30046,97.1463,0.9997
lookahead,30046,80.2347,0.9998
two_step,30046,107.7128,0.9997
three_step,30046,109.2581,0.9994
clairvoyant,30046,62.7762,0.9924
twap,30047,118.3337,0.9997
lookahead,30047,130.9549,0.9999
two_step,30047,172.4812,0.9996
three_step,30047,134.8730,0.9996
clairvoyant,30047,108.1744,0.9951
twap,30048,96.0386,0.9997
lookahead,30048,52.4943,0.9998
two_step,30048,52.0309,0.9996
three_step,30048,51.6455,0.9991
clairvoyant,30048,46.1412,0.9972
twap,30049,104.3268,0.9997
lookahead,30049,108.3423,0.9999
two_step,30049,104.9654,0.9996
three_step,30049,92.6785,0.9992
clairvoyant,30049,70.8659,0.9949
twap,30050,124.0403,0.9997
lookahead,30050,113.1574,0.9998
two_step,30050,112.1402,0.9996
three_step,30050,115.9033,0.9991
clairvoyant,30050,98.5136,0.9950
twap,30051,129.8227,0.9997
lookahead,30051,149.9882,0.9999
two_step,30051,159.3325,0.9996
three_step,30051,163.6347,0.9995
clairvoyant,30051,146.3759,0.9926
twap,30052,141.0725,0.9997
lookahead,30052,141.4755,0.9998
two_step,30052,124.1642,0.9998
three_step,30052,128.1570,0.9996
clairvoyant,30052,125.3323,0.9920
twap,30053,97.0351,0.9997
lookahead,30053,82.6641,0.9998
two_step,30053,100.3613,0.9995
three_step,30053,86.0081,0.9991
clairvoyant,30053,77.7636,0.9966
twap,30054,120.7420,0.9997
lookahead,30054,145.3499,0.9998
two_step,30054,152.1676,0.9996
three_step,30054,149.1137,0.9994
clairvoyant,30054,120.2591,0.9943
twap,30055,100.1057,0.9997
lookahead,30055,79.9208,0.9998
two_step,30055,95.7960,0.9997
three_step,30055,79.8574,0.9997
clairvoyant,30055,75.1331,0.9968
twap,30056,110.2918,0.9997
lookahead,30056,101.4917,0.9998
two_step,30056,126.7796,0.9997
three_step,30056,110.6885,0.9994
clairvoyant,30056,87.2725,0.9949
twap,30057,106.3666,0.9997
lookahead,30057,107.3487,0.9999
two_step,30057,127.1162,0.9997
three_step,30057,122.7352,0.9998
clairvoyant,30057,103.7666,0.9977
twap,30058,101.7640,0.9997
lookahead,30058,104.5867,0.9998
two_step,30058,128.5275,0.9997
three_step,30058,104.3692,0.9991
clairvoyant,30058,90.2791,0.9967
twap,30059,105.9660,0.9997
lookahead,30059,82.0125,0.9998
two_step,30059,90.5952,0.9997
three_step,30059,96.0320,0.9997
clairvoyant,30059,59.3328,0.9966
twap,30060,120.6940,0.9997
lookahead,30060,131.9468,0.9999
two_step,30060,149.7421,0.9997
three_step,30060,133.8154,0.9995
clairvoyant,30060,114.2644,0.9967
twap,30061,102.2999,0.9997
lookahead,30061,139.6656,0.9999
two_step,30061,138.7168,0.9996
three_step,30061,130.0732,0.9991
clairvoyant,30061,86.1845,0.9953
twap,30062,118.1003,0.9997
lookahead,30062,121.0682,0.9998
two_step,30062,142.2543,0.9995
three_step,30062,134.0923,0.9991
clairvoyant,30062,111.4824,0.9924
twap,30063,97.7644,0.9997
lookahead,30063,82.0151,0.9998
two_step,30063,101.9868,0.9997
three_step,30063,87.8744,0.9999
clairvoyant,30063,78.3567,0.9962
twap,30064,107.2600,0.9997
lookahead,30064,60.9072,0.9998
two_step,30064,68.9390,0.9997
three_step,30064,62.9785,0.9993
clairvoyant,30064,58.7790,0.9962
twap,30065,116.0712,0.9997
lookahead,30065,108.3688,0.9999
two_step,30065,104.3945,0.9996
three_step,30065,103.9149,0.9995
clairvoyant,30065,80.6895,0.9932
twap,30066,99.7650,0.9997
lookahead,30066,58.9648,0.9997
two_step,30066,63.1201,0.9997
three_step,30066,58.4195,0.9991
clairvoyant,30066,29.5551,0.9909
twap,30067,132.1144,0.9997
lookahead,30067,130.0515,0.9998
two_step,30067,122.2677,0.9996
three_step,30067,117.7188,0.9994
clairvoyant,30067,107.9909,0.9816
twap,30068,115.0649,0.9997
lookahead,30068,121.6773,0.9999
two_step,30068,139.6389,0.9997
three_step,30068,118.3497,0.9993
clairvoyant,30068,110.6593,0.9949
twap,30069,111.7993,0.9997
lookahead,30069,102.0565,0.9998
two_step,30069,135.4831,0.9996
three_step,30069,97.0595,0.9996
clairvoyant,30069,92.0925,0.9950
twap,30070,115.9129,0.9997
lookahead,30070,98.4795,0.9998
two_step,30070,142.0198,0.9998
three_step,30070,95.9634,0.9996
clairvoyant,30070,90.4192,0.9932
twap,30071,107.9115,0.9997
lookahead,30071,100.2367,0.9999
two_step,30071,109.7386,0.9997
three_step,30071,107.4586,0.9995
clairvoyant,30071,82.7791,0.9955
twap,30072,124.5620,0.9997
lookahead,30072,120.3561,0.9998
two_step,30072,125.9002,0.9995
three_step,30072,118.7123,0.9992
clairvoyant,30072,109.2015,0.9949
twap,30073,137.7374,0.9997
lookahead,30073,139.6488,0.9998
two_step,30073,131.0436,0.9996
three_step,30073,133.7348,0.9997
clairvoyant,30073,107.2786,0.9937
twap,30074,108.8967,0.9997
lookahead,30074,80.1516,0.9998
two_step,30074,77.0329,0.9997
three_step,30074,80.8984,0.9994
clairvoyant,30074,66.6095,0.9959
twap,30075,106.5748,0.9997
lookahead,30075,81.7454,0.9998
two_step,30075,91.6517,0.9996
three_step,30075,76.5593,0.9996
clairvoyant,30075,69.5454,0.9966
twap,30076,112.5723,0.9997
lookahead,30076,106.6691,0.9998
two_step,30076,116.5525,0.9995
three_step,30076,108.7794,0.9995
clairvoyant,30076,94.6603,0.9970
twap,30077,114.9802,0.9997
lookahead,30077,111.1591,0.9998
two_step,30077,116.4639,0.9995
three_step,30077,103.2853,0.9998
clairvoyant,30077,105.6187,0.9865
twap,30078,111.8434,0.9997
lookahead,30078,77.1372,0.9998
two_step,30078,77.9279,0.9995
three_step,30078,73.7713,0.9990
clairvoyant,30078,53.7478,0.9939
twap,30079,89.2738,0.9997
lookahead,30079,73.2642,0.9998
two_step,30079,99.2780,0.9997
three_step,30079,85.9518,0.9994
clairvoyant,30079,63.4501,0.9885
twap,30080,129.0171,0.9997
lookahead,30080,125.7836,0.9998
two_step,30080,126.7954,0.9996
three_step,30080,125.6836,0.9997
clairvoyant,30080,119.3990,0.9939
twap,30081,97.4642,0.9997
lookahead,30081,65.9819,0.9998
two_step,30081,83.7182,0.9999
three_step,30081,76.9280,0.9998
clairvoyant,30081,52.6455,0.9950
twap,30082,112.7967,0.9997
lookahead,30082,109.4719,0.9999
two_step,30082,131.7071,0.9997
three_step,30082,118.7564,0.9991
clairvoyant,30082,82.7250,0.9972
twap,30083,87.6243,0.9997
lookahead,30083,64.9220,0.9999
two_step,30083,73.0097,0.9998
three_step,30083,73.8097,0.9997
clairvoyant,30083,43.9059,0.9975
twap,30084,84.4720,0.9997
lookahead,30084,37.8198,0.9998
two_step,30084,43.1145,0.9996
three_step,30084,38.8443,0.9996
clairvoyant,30084,12.0079,0.9949
twap,30085,107.7322,0.9997
lookahead,30085,104.7211,0.9998
two_step,30085,128.3855,0.9995
three_step,30085,118.8169,0.9997
clairvoyant,30085,90.8071,0.9966
twap,30086,124.5042,0.9997
lookahead,30086,103.0180,0.9998
two_step,30086,110.7294,0.9997
three_step,30086,100.1234,0.9991
clairvoyant,30086,94.5670,0.9924
twap,30087,92.2393,0.9997
lookahead,30087,51.1974,0.9998
two_step,30087,63.6490,0.9996
three_step,30087,51.3661,0.9995
clairvoyant,30087,35.3319,0.9944
twap,30088,105.2766,0.9997
lookahead,30088,74.6663,0.9998
two_step,30088,89.1143,0.9995
three_step,30088,81.5030,0.9996
clairvoyant,30088,65.2061,0.9967
twap,30089,117.3397,0.9997
lookahead,30089,78.5521,0.9998
two_step,30089,85.0112,0.9995
three_step,30089,86.4135,0.9994
clairvoyant,30089,74.3657,0.9949
twap,30090,103.2676,0.9997
lookahead,30090,78.4012,0.9999
two_step,30090,99.1435,0.9996
three_step,30090,78.5760,0.9996
clairvoyant,30090,64.4000,0.9966
twap,30091,104.9174,0.9997
lookahead,30091,80.7179,0.9998
two_step,30091,81.1720,0.9996
three_step,30091,79.5903,0.9994
clairvoyant,30091,76.1150,0.9974
twap,30092,109.7468,0.9997
lookahead,30092,103.0231,0.9998
two_step,30092,110.1766,0.9996
three_step,30092,106.0107,0.9996
clairvoyant,30092,72.1802,0.9973
twap,30093,132.2482,0.9997
lookahead,30093,143.2301,0.9999
two_step,30093,158.7306,0.9996
three_step,30093,145.6977,0.9991
clairvoyant,30093,109.8616,0.9962
twap,30094,106.5818,0.9997
lookahead,30094,86.9928,0.9998
two_step,30094,92.8289,0.9999
three_step,30094,86.0557,0.9998
clairvoyant,30094,70.3536,0.9963
twap,30095,107.2442,0.9997
lookahead,30095,102.4086,0.9998
two_step,30095,112.7153,0.9997
three_step,30095,97.6548,0.9992
clairvoyant,30095,84.5345,0.9853
twap,30096,112.8282,0.9997
lookahead,30096,30.9589,0.9998
two_step,30096,51.5764,0.9996
three_step,30096,62.3797,0.9996
clairvoyant,30096,12.5191,0.9957
twap,30097,104.4507,0.9997
lookahead,30097,114.4934,0.9998
two_step,30097,108.2939,0.9997
three_step,30097,104.0463,0.9994
clairvoyant,30097,72.4783,0.9969
twap,30098,92.6414,0.9997
lookahead,30098,68.3605,0.9997
two_step,30098,68.3744,0.9996
three_step,30098,67.1701,0.9995
clairvoyant,30098,26.9028,0.9893
twap,30099,122.4062,0.9997
lookahead,30099,117.3328,0.9998
two_step,30099,136.9469,0.9997
three_step,30099,105.4971,0.9992
clairvoyant,30099,97.6281,0.9949
twap,30100,123.0698,0.9997
lookahead,30100,116.9391,0.9998
two_step,30100,146.3286,0.9996
three_step,30100,137.6675,0.9996
clairvoyant,30100,112.2881,0.9950
twap,30101,104.8041,0.9997
lookahead,30101,78.6334,0.9998
two_step,30101,83.1879,0.9996
three_step,30101,93.6157,0.9991
clairvoyant,30101,64.0024,0.9924
twap,30102,134.2003,0.9997
lookahead,30102,149.9938,0.9999
two_step,30102,153.6478,0.9996
three_step,30102,141.7240,0.9995
clairvoyant,30102,132.4334,0.9931
twap,30103,107.3033,0.9997
lookahead,30103,82.2045,0.9998
two_step,30103,107.7800,0.9996
three_step,30103,89.2239,0.9996
clairvoyant,30103,77.9719,0.9975
twap,30104,110.8089,0.9997
lookahead,30104,93.0066,0.9999
two_step,30104,90.4038,0.9996
three_step,30104,91.8988,0.9997
clairvoyant,30104,70.4640,0.9958
twap,30105,104.5314,0.9997
lookahead,30105,86.6609,0.9998
two_step,30105,110.9147,0.9997
three_step,30105,104.5600,0.9992
clairvoyant,30105,76.8807,0.9959
twap,30106,122.4163,0.9997
lookahead,30106,111.4863,0.9998
two_step,30106,135.0134,0.9996
three_step,30106,118.2746,0.9997
clairvoyant,30106,88.1231,0.9956
twap,30107,109.2800,0.9997
lookahead,30107,97.5957,0.9998
two_step,30107,94.3051,0.9995
three_step,30107,94.4586,0.9993
clairvoyant,30107,82.2793,0.9926
twap,30108,109.8581,0.9997
lookahead,30108,85.3281,0.9998
two_step,30108,105.3821,0.9996
three_step,30108,86.0143,0.9994
clairvoyant,30108,77.0394,0.9955
twap,30109,108.5390,0.9997
lookahead,30109,117.7019,0.9998
two_step,30109,132.2764,0.9997
three_step,30109,123.9919,0.9993
clairvoyant,30109,93.2809,0.9955
twap,30110,102.0856,0.9997
lookahead,30110,66.2315,0.9998
two_step,30110,67.1904,0.9996
three_step,30110,64.4596,0.9994
clairvoyant,30110,44.6964,0.9955
twap,30111,98.0031,0.9997
lookahead,30111,63.4636,0.9998
two_step,30111,56.8922,0.9998
three_step,30111,64.8967,0.9991
clairvoyant,30111,49.3774,0.9943
twap,30112,97.1902,0.9997
lookahead,30112,93.2749,0.9998
two_step,30112,111.2429,0.9999
three_step,30112,104.8292,0.9990
clairvoyant,30112,66.5338,0.9949
twap,30113,105.9015,0.9997
lookahead,30113,126.8992,0.9999
two_step,30113,133.0530,0.9996
three_step,30113,138.2031,0.9995
clairvoyant,30113,102.2233,0.9949
twap,30114,113.7657,0.9997
lookahead,30114,87.7901,0.9998
two_step,30114,100.8900,0.9997
three_step,30114,89.1249,0.9992
clairvoyant,30114,84.1735,0.9955
twap,30115,111.5506,0.9997
lookahead,30115,88.0441,0.9998
two_step,30115,124.5826,0.9996
three_step,30115,101.0386,0.9994
clairvoyant,30115,83.5191,0.9970
twap,30116,107.2301,0.9997
lookahead,30116,93.2476,0.9999
two_step,30116,118.6031,0.9996
three_step,30116,90.5358,0.9995
clairvoyant,30116,73.4800,0.9862
twap,30117,93.1057,0.9997
lookahead,30117,123.5117,0.9998
two_step,30117,126.3657,0.9996
three_step,30117,112.7692,0.9991
clairvoyant,30117,62.9357,0.9966
twap,30118,107.3249,0.9997
lookahead,30118,85.3065,0.9998
two_step,30118,93.9222,0.9996
three_step,30118,89.9671,0.9992
clairvoyant,30118,77.3976,0.9949
twap,30119,116.4544,0.9997
lookahead,30119,115.1531,0.9998
two_step,30119,99.8762,0.9996
three_step,30119,99.8308,0.9994
clairvoyant,30119,103.8773,0.9937
twap,30120,118.0867,0.9997
lookahead,30120,120.3402,0.9998
two_step,30120,124.5755,0.9997
three_step,30120,122.1542,0.9996
clairvoyant,30120,80.8470,0.9970
twap,30121,92.5175,0.9997
lookahead,30121,62.2556,0.9999
two_step,30121,73.3306,0.9996
three_step,30121,68.8362,0.9990
clairvoyant,30121,58.1354,0.9977
twap,30122,111.8714,0.9997
lookahead,30122,84.0119,0.9998
two_step,30122,90.5249,0.9996
three_step,30122,84.1248,0.9996
clairvoyant,30122,65.3600,0.9890
twap,30123,127.1797,0.9997
lookahead,30123,117.9870,0.9999
two_step,30123,117.4723,0.9997
three_step,30123,109.8057,0.9994
clairvoyant,30123,99.9879,0.9944
twap,30124,113.5075,0.9997
lookahead,30124,96.4548,0.9999
two_step,30124,112.5725,0.9997
three_step,30124,100.7008,0.9995
clairvoyant,30124,79.8164,0.9908
twap,30125,92.1985,0.9997
lookahead,30125,46.7407,0.9998
two_step,30125,50.0027,0.9997
three_step,30125,41.2950,0.9990
clairvoyant,30125,25.8851,0.9963
twap,30126,144.1036,0.9997
lookahead,30126,154.0242,0.9998
two_step,30126,150.9326,0.9996
three_step,30126,146.8365,0.9991
clairvoyant,30126,138.4384,0.9932
twap,30127,128.8781,0.9997
lookahead,30127,131.3035,0.9998
two_step,30127,150.1815,0.9997
three_step,30127,136.5416,0.9994
clairvoyant,30127,129.4984,0.9939
twap,30128,120.7123,0.9997
lookahead,30128,142.7361,0.9998
two_step,30128,169.9277,0.9995
three_step,30128,166.7305,0.9994
clairvoyant,30128,107.5674,0.9959
twap,30129,127.6908,0.9997
lookahead,30129,127.2745,0.9998
two_step,30129,160.3728,0.9996
three_step,30129,144.4769,0.9992
clairvoyant,30129,103.9483,0.9837
twap,30130,102.3080,0.9997
lookahead,30130,73.0114,0.9998
two_step,30130,107.3094,0.9996
three_step,30130,78.3794,0.9994
clairvoyant,30130,62.2124,0.9962
twap,30131,130.1664,0.9997
lookahead,30131,125.4878,0.9999
two_step,30131,130.8692,0.9997
three_step,30131,136.3886,0.9992
clairvoyant,30131,114.1984,0.9909
twap,30132,114.1821,0.9997
lookahead,30132,90.9362,0.9998
two_step,30132,99.0267,0.9997
three_step,30132,91.2651,0.9996
clairvoyant,30132,70.3252,0.9911
twap,30133,117.7086,0.9997
lookahead,30133,125.6557,0.9999
two_step,30133,129.9146,0.9997
three_step,30133,121.5710,0.9989
clairvoyant,30133,112.6532,0.9969
twap,30134,124.7412,0.9997
lookahead,30134,128.2061,0.9998
two_step,30134,158.1356,0.9996
three_step,30134,133.8912,0.9991
clairvoyant,30134,108.4805,0.9939
twap,30135,124.3188,0.9997
lookahead,30135,115.3499,0.9998
two_step,30135,157.8930,0.9998
three_step,30135,128.7982,0.9997
clairvoyant,30135,101.8796,0.9948
twap,30136,116.9954,0.9997
lookahead,30136,126.9323,0.9998
two_step,30136,141.6971,0.9996
three_step,30136,114.6249,0.9993
clairvoyant,30136,90.0958,0.9974
twap,30137,110.8417,0.9997
lookahead,30137,96.5965,0.9999
two_step,30137,105.9382,0.9997
three_step,30137,95.2948,0.9994
clairvoyant,30137,85.3047,0.9959
twap,30138,83.4280,0.9997
lookahead,30138,33.4592,0.9998
two_step,30138,69.2823,0.9998
three_step,30138,50.3640,0.9997
clairvoyant,30138,23.1666,0.9950
twap,30139,94.4023,0.9997
lookahead,30139,58.9515,0.9999
two_step,30139,57.2473,0.9995
three_step,30139,52.7144,0.9993
clairvoyant,30139,42.1462,0.9968
twap,30140,123.4482,0.9997
lookahead,30140,99.3450,0.9998
two_step,30140,109.9210,0.9997
three_step,30140,108.4849,0.9992
clairvoyant,30140,92.6490,0.9966
twap,30141,100.3771,0.9997
lookahead,30141,85.4820,0.9998
two_step,30141,103.6898,0.9997
three_step,30141,105.3239,0.9996
clairvoyant,30141,58.8167,0.9926
twap,30142,121.9489,0.9997
lookahead,30142,132.5740,0.9998
two_step,30142,142.3704,0.9997
three_step,30142,147.1015,0.9996
clairvoyant,30142,126.5366,0.9908
twap,30143,119.6174,0.9997
lookahead,30143,99.4444,0.9999
two_step,30143,115.5654,0.9997
three_step,30143,103.6987,0.9994
clairvoyant,30143,86.1856,0.9945
twap,30144,108.9299,0.9997
lookahead,30144,123.3771,0.9999
two_step,30144,145.7839,0.9997
three_step,30144,113.5616,0.9992
clairvoyant,30144,88.3724,0.9962
twap,30145,129.4941,0.9997
lookahead,30145,124.9566,0.9998
two_step,30145,131.0528,0.9997
three_step,30145,132.6243,0.9994
clairvoyant,30145,102.0934,0.9943
twap,30146,111.4208,0.9997
lookahead,30146,108.4453,0.9998
two_step,30146,104.0894,0.9997
three_step,30146,111.5052,0.9991
clairvoyant,30146,83.3924,0.9779
twap,30147,109.5480,0.9997
lookahead,30147,121.6498,0.9998
two_step,30147,127.5418,0.9996
three_step,30147,105.7410,0.9993
clairvoyant,30147,83.8920,0.9955
twap,30148,113.9306,0.9997
lookahead,30148,126.8930,0.9999
two_step,30148,131.6833,0.9997
three_step,30148,115.8951,0.9994
clairvoyant,30148,83.3076,0.9911
twap,30149,112.2605,0.9997
lookahead,30149,95.8482,0.9999
two_step,30149,113.0320,0.9997
three_step,30149,105.2095,0.9989
